label,message
ham,"Yeah, we got one lined up for us"
ham,Ü no home work to do meh... 
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Ok lor...
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
ham,We have all rounder:)so not required:)
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,"Sorry, I'll call later In meeting."
ham,I'm done. C ü there.
ham,Arun can u transfr me d amt
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite"
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
ham,I'm vivek:)i got call from your number.
ham,Nt yet chikku..simple habba..hw abt u?
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
ham,My birthday is on feb  &lt;#&gt;  da. .
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,You still at the game?
ham,Love it! I want to flood that pretty pussy with cum...
ham,What happened to our yo date?
ham,did u get that message
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,I like you peoples very much:) but am very shy pa.
ham,Wat r u doing?
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
ham,"Yo, you at jp and hungry like a mofo?"
ham,He also knows about lunch menu only da. . I know
ham,No..its ful of song lyrics..
ham,"Greetings me, ! Consider yourself excused."
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
ham,I can send you a pic if you like :)
ham,With my sis lor... We juz watched italian job.
ham,"Ah, well that confuses things, doesn‘t it?"
ham,I need to come home and give you some good lovin...
spam,You have 1 new voicemail. Please call 08719181503
ham,It is a good thing I'm now getting the connection to bw
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Dear i have reache room
ham,"K I'm leaving soon, be there a little after 9"
ham,Thanx 4 sending me home...
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
spam,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
ham,it's really getting me down just hanging around.
ham,Aiyar sorry lor forgot 2 tell u...
ham,Only saturday and sunday holiday so its very difficult:)
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Ü mean it's confirmed... I tot they juz say oni... Ok then... 
ham,Oh ic. I thought you meant mary jane.
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,K.k.how is your business now?
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
spam,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,In e msg jus now. U said thanks for gift.
ham,"She was supposed to be but couldn't make it, she's still in town though"
ham,You didnt complete your gist oh.
ham,We're done...
ham,"Playin space poker, u?"
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
ham,I dun believe u. I thk u told him.
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,I had askd u a question some hours before. Its answer
ham,Did you see that film:)
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,I just saw ron burgundy captaining a party boat so yeah
ham,Dear good morning how you feeling dear
ham,Yeah that's the impression I got
ham,I'm at work. Please call
ham,Mum not going robinson already.
ham,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,Dear umma she called me now :-)
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... 
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,"* Was really good to see you the other day dudette, been missing you!"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
ham,"That's fine, I'll bitch at you about it later then"
ham,"Sorry, I'll call later"
ham,Boooo you always work. Just quit.
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
ham,You made my day. Do have a great day too.
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,U guys never invite me anywhere :(
ham,"Vikky, come around  &lt;TIME&gt; .."
ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
ham,"Some friends want me to drive em someplace, probably take a while"
ham,I liked the new mobile
ham,I'm stuck in da middle of da row on da right hand side of da lt... 
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,Armand says get your ass over to epsilon
ham,"Babe, I'm back ... Come back to me ..."
ham,I've been trying to reach him without success
spam,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """
